,index,pitax_2021,pitax_ref_2021,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0,<0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0
2,0-0.5 m,"9,212","5,432","4,977","4,652","4,378","4,074","3,836","3,652"
3,0.5-1m,"23,408","20,119","18,469","17,331","16,657","16,041","15,420","14,711"
4,1-1.5m,"48,681","47,162","45,263","42,763","36,947","25,147","23,097","21,135"
5,1.5-2m,"39,703","40,375","42,181","42,943","45,800","53,429","51,884","49,086"
6,2-3m,"60,206","63,214","69,707","74,805","78,585","83,053","85,512","88,082"
7,3-4m,"42,169","45,294","50,438","54,939","59,979","65,402","70,833","75,376"
8,4-5m,"29,204","31,774","36,413","41,622","46,367","50,146","54,477","59,679"
9,5-10m,"72,714","80,395","93,976","105,957","118,265","133,997","151,342","169,962"
10,>10m,"101,149","110,149","132,285","153,831","176,063","202,645","237,421","277,742"
11,ALL,"426,445","443,914","493,710","538,842","583,043","633,935","693,821","759,426"
