,index,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028
0, 0-10n,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,0,0,0,0,0
3, 10-20,0,0,0,0,0,0,0,0
4, 20-30,0,0,0,0,0,0,0,0
5, 30-40,3,3,3,3,3,3,3,3
6, 40-50,22,22,22,22,22,22,22,22
7, 50-60,64,64,64,64,64,64,64,64
8, 60-70,164,164,164,164,164,164,164,164
9, 70-80,417,417,417,417,417,417,417,417
10, 80-90,"1,028","1,028","1,028","1,028","1,028","1,028","1,028","1,028"
11, 90-100,"6,067","6,067","6,067","6,067","6,067","6,067","6,067","6,067"
12, ALL,777,777,777,777,777,777,777,777
13, 90-95,"2,396","2,396","2,396","2,396","2,396","2,396","2,396","2,396"
14, 95-99,"5,872","5,872","5,872","5,872","5,872","5,872","5,872","5,872"
15, Top 1%,"25,165","25,165","25,165","25,165","25,165","25,165","25,165","25,165"
