,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_2023,pitax_2023,total_gross_income_2023,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
0,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,nan,nan
1,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,"7,785.0000",0.0000,0.0000,nan,nan
2,"7,786.0000",0.0000,0.0000,"7,786.0000",0.0000,0.0000,"7,786.0000",0.0000,0.0000,"7,786.0000",0.0000,0.0000,"7,786.0000",0.0000,0.0000,"7,786.0000",0.0000,0.0000,"7,786.0000",0.0000,0.0000,"7,786.0000",0.0000,0.0000,nan,nan
3,"7,785.0000",1.0000,4.0000,"7,785.0000",1.0000,5.0000,"7,785.0000",1.0000,6.0000,"7,785.0000",1.0000,6.0000,"7,785.0000",1.0000,7.0000,"7,785.0000",1.0000,7.0000,"7,785.0000",1.0000,8.0000,"7,785.0000",2.0000,9.0000,0.1667,0.1667
4,"7,786.0000",28.0000,147.0000,"7,786.0000",39.0000,201.0000,"7,786.0000",45.0000,235.0000,"7,786.0000",46.0000,235.0000,"7,786.0000",49.0000,254.0000,"7,786.0000",53.0000,276.0000,"7,786.0000",58.0000,298.0000,"7,786.0000",62.0000,321.0000,0.1915,0.1957
5,"7,785.0000",65.0000,329.0000,"7,785.0000",88.0000,450.0000,"7,785.0000",103.0000,527.0000,"7,785.0000",103.0000,527.0000,"7,785.0000",111.0000,569.0000,"7,785.0000",121.0000,619.0000,"7,785.0000",130.0000,667.0000,"7,785.0000",141.0000,720.0000,0.1954,0.1954
6,"7,786.0000",98.0000,498.0000,"7,786.0000",133.0000,680.0000,"7,786.0000",156.0000,797.0000,"7,786.0000",156.0000,797.0000,"7,786.0000",168.0000,861.0000,"7,786.0000",183.0000,936.0000,"7,786.0000",197.0000,"1,009.0000","7,786.0000",213.0000,"1,089.0000",0.1957,0.1957
7,"7,785.0000",133.0000,675.0000,"7,785.0000",181.0000,922.0000,"7,785.0000",212.0000,"1,081.0000","7,785.0000",212.0000,"1,081.0000","7,785.0000",229.0000,"1,167.0000","7,785.0000",249.0000,"1,270.0000","7,785.0000",268.0000,"1,367.0000","7,785.0000",289.0000,"1,477.0000",0.1961,0.1961
8,"7,786.0000",162.0000,831.0000,"7,786.0000",222.0000,"1,134.0000","7,786.0000",260.0000,"1,329.0000","7,786.0000",260.0000,"1,329.0000","7,786.0000",280.0000,"1,435.0000","7,786.0000",305.0000,"1,562.0000","7,786.0000",328.0000,"1,682.0000","7,786.0000",355.0000,"1,816.0000",0.1956,0.1956
9,"7,785.0000",199.0000,"1,014.0000","7,785.0000",271.0000,"1,384.0000","7,785.0000",318.0000,"1,622.0000","7,785.0000",318.0000,"1,622.0000","7,785.0000",343.0000,"1,752.0000","7,785.0000",373.0000,"1,906.0000","7,785.0000",402.0000,"2,052.0000","7,785.0000",434.0000,"2,217.0000",0.1961,0.1961
10,"7,786.0000",233.0000,"1,192.0000","7,786.0000",318.0000,"1,627.0000","7,786.0000",372.0000,"1,907.0000","7,786.0000",372.0000,"1,907.0000","7,786.0000",402.0000,"2,059.0000","7,786.0000",437.0000,"2,240.0000","7,786.0000",470.0000,"2,413.0000","7,786.0000",508.0000,"2,606.0000",0.1951,0.1951
11,"7,785.0000",272.0000,"1,384.0000","7,785.0000",371.0000,"1,890.0000","7,785.0000",435.0000,"2,215.0000","7,785.0000",435.0000,"2,215.0000","7,785.0000",469.0000,"2,392.0000","7,785.0000",510.0000,"2,603.0000","7,785.0000",550.0000,"2,803.0000","7,785.0000",594.0000,"3,027.0000",0.1964,0.1964
12,"7,785.0000",308.0000,"1,570.0000","7,785.0000",420.0000,"2,143.0000","7,785.0000",492.0000,"2,512.0000","7,785.0000",492.0000,"2,512.0000","7,785.0000",531.0000,"2,713.0000","7,785.0000",578.0000,"2,951.0000","7,785.0000",622.0000,"3,179.0000","7,785.0000",672.0000,"3,433.0000",0.1959,0.1959
13,"7,786.0000",348.0000,"1,782.0000","7,786.0000",475.0000,"2,432.0000","7,786.0000",556.0000,"2,850.0000","7,786.0000",556.0000,"2,850.0000","7,786.0000",600.0000,"3,078.0000","7,786.0000",652.0000,"3,349.0000","7,786.0000",703.0000,"3,607.0000","7,786.0000",759.0000,"3,896.0000",0.1951,0.1951
14,"7,785.0000",390.0000,"1,988.0000","7,785.0000",532.0000,"2,714.0000","7,785.0000",623.0000,"3,181.0000","7,785.0000",623.0000,"3,181.0000","7,785.0000",672.0000,"3,435.0000","7,785.0000",731.0000,"3,738.0000","7,785.0000",787.0000,"4,026.0000","7,785.0000",850.0000,"4,348.0000",0.1959,0.1959
